# A note on variations. To create additional variations for weapons or armour,
# use the %enchant_variation command e.g.:
#
#    weapon_normal WEP_SOME_WEAPON
#    %enchant_variation WEP_SOME_WEAPON shiny
#    weapon_shiny WEP_SOME_WEAPON_SHINY
#    %enchant_variation WEP_SOME_WEAPON runed
#    weapon_runed WEP_SOME_WEAPON_RUNED
#    %enchant_variation WEP_SOME_WEAPON glowing
#    weapon_glowing WEP_SOME_WEAPON_GLOWING
#    %enchant_variation WEP_SOME_WEAPON randart
#    weapon_randart WEP_SOME_WEAPON_RANDART
#
# You can also use the same tile for multiple variations e.g.:
#
#    %enchant_variation WEP_SOME_WEAPON shiny runed glowing randart
#    weapon_magic WEP_SOME_WEAPON_MAGIC
#
# You can also give a single variation mutliple tiles that are chosen from
# randomly when the item is created e.g. to have two randart tiles:
#
#    %enchant_variation WEP_SOME_WEAPON randart
#    weapon_randart1 WEP_SOME_WEAPON_RANDART
#    weapon_randart2

##### Artefacts (fixed and unrandart)
%include dc-unrand.txt

urand_wyrmbane1 UNRAND_WYRMBANE1
%enchant_variation WPN_SCIMITAR randart
scimitar3 WPN_SCIMITAR_RANDART
long_sword1 WPN_LONG_SWORD
%enchant_variation WPN_LONG_SWORD shiny runed glowing
long_sword2 WPN_LONG_SWORD_MAGIC
%enchant_variation WPN_LONG_SWORD randart
long_sword3 WPN_LONG_SWORD_RANDART
greatsword1 WPN_GREAT_SWORD
%enchant_variation WPN_GREAT_SWORD shiny runed glowing
greatsword2 WPN_GREAT_SWORD_MAGIC
%enchant_variation WPN_GREAT_SWORD randart
greatsword3 WPN_GREAT_SWORD_RANDART
double_sword WPN_DOUBLE_SWORD
%enchant_variation WPN_DOUBLE_SWORD shiny runed glowing
double_sword2 WPN_DOUBLE_SWORD_MAGIC
%enchant_variation WPN_DOUBLE_SWORD randart
double_sword3 WPN_DOUBLE_SWORD_RANDART
triple_sword WPN_TRIPLE_SWORD
%enchant_variation WPN_TRIPLE_SWORD shiny runed glowing
triple_sword2 WPN_TRIPLE_SWORD_MAGIC
%enchant_variation WPN_TRIPLE_SWORD randart
triple_sword3 WPN_TRIPLE_SWORD_RANDART
demon_blade WPN_DEMON_BLADE
%enchant_variation WPN_DEMON_BLADE shiny runed glowing
demon_blade2 WPN_DEMON_BLADE_MAGIC
%enchant_variation WPN_DEMON_BLADE randart
demon_blade3 WPN_DEMON_BLADE_RANDART
blessed_blade WPN_BLESSED_BLADE

##Axes
hand_axe1 WPN_HAND_AXE
%enchant_variation WPN_HAND_AXE shiny runed glowing
hand_axe2 WPN_HAND_AXE_MAGIC
%enchant_variation WPN_HAND_AXE randart
hand_axe3 WPN_HAND_AXE_RANDART
war_axe1 WPN_WAR_AXE
%enchant_variation WPN_WAR_AXE shiny runed glowing
war_axe2 WPN_WAR_AXE_MAGIC
%enchant_variation WPN_WAR_AXE randart
war_axe3 WPN_WAR_AXE_RANDART
broad_axe1 WPN_BROAD_AXE
%enchant_variation WPN_BROAD_AXE shiny runed glowing
broad_axe2 WPN_BROAD_AXE_MAGIC
%enchant_variation WPN_BROAD_AXE randart
broad_axe3 WPN_BROAD_AXE_RANDART
battle_axe1 WPN_BATTLEAXE
%enchant_variation WPN_BATTLEAXE shiny runed glowing
battle_axe2 WPN_BATTLEAXE_MAGIC
%enchant_variation WPN_BATTLEAXE randart
battle_axe3 WPN_BATTLEAXE_RANDART
executioner_axe1 WPN_EXECUTIONERS_AXE
%enchant_variation WPN_EXECUTIONERS_AXE shiny runed glowing
executioner_axe2 WPN_EXECUTIONERS_AXE_MAGIC
%enchant_variation WPN_EXECUTIONERS_AXE randart
executioner_axe3 WPN_EXECUTIONERS_AXE_RANDART

##Polearms
spear1 WPN_SPEAR
%enchant_variation WPN_SPEAR shiny runed glowing
spear2 WPN_SPEAR_MAGIC
%enchant_variation WPN_SPEAR randart
spear3 WPN_SPEAR_RANDART
trident1 WPN_TRIDENT
%enchant_variation WPN_TRIDENT shiny runed glowing
trident2 WPN_TRIDENT_MAGIC
%enchant_variation WPN_TRIDENT randart
trident3 WPN_TRIDENT_RANDART
halberd1 WPN_HALBERD
%enchant_variation WPN_HALBERD shiny runed glowing
halberd2 WPN_HALBERD_MAGIC
%enchant_variation WPN_HALBERD randart
halberd3 WPN_HALBERD_RANDART
scythe1 WPN_SCYTHE
%enchant_variation WPN_SCYTHE shiny runed glowing
scythe2 WPN_SCYTHE_MAGIC
%enchant_variation WPN_SCYTHE randart
scythe3 WPN_SCYTHE_RANDART
glaive1 WPN_GLAIVE
%enchant_variation WPN_GLAIVE shiny runed glowing
glaive2 WPN_GLAIVE_MAGIC
%enchant_variation WPN_GLAIVE randart
glaive3 WPN_GLAIVE_RANDART
bardiche1 WPN_BARDICHE
%enchant_variation WPN_BARDICHE shiny runed glowing
bardiche2 WPN_BARDICHE_MAGIC
%enchant_variation WPN_BARDICHE randart
bardiche3 WPN_BARDICHE_RANDART
partisan1 WPN_PARTISAN
%enchant_variation WPN_PARTISAN shiny runed glowing
partisan2 WPN_PARTISAN_MAGIC
%enchant_variation WPN_PARTISAN randart
partisan3 WPN_PARTISAN_RANDART

demon_trident WPN_DEMON_TRIDENT
%enchant_variation WPN_DEMON_TRIDENT shiny runed glowing
demon_trident2 WPN_DEMON_TRIDENT_MAGIC
%enchant_variation WPN_DEMON_TRIDENT randart
demon_trident3 WPN_DEMON_TRIDENT_RANDART
trishula WPN_TRISHULA

##Staves
staff WPN_STAFF
quarterstaff WPN_QUARTERSTAFF
%enchant_variation WPN_QUARTERSTAFF shiny runed glowing
quarterstaff2 WPN_QUARTERSTAFF_MAGIC
%enchant_variation WPN_QUARTERSTAFF randart
quarterstaff3 WPN_QUARTERSTAFF_RANDART
lajatang1 WPN_LAJATANG
%enchant_variation WPN_LAJATANG shiny runed glowing
lajatang2 WPN_LAJATANG_MAGIC
%enchant_variation WPN_LAJATANG randart
lajatang3 WPN_LAJATANG_RANDART

staff_mummy WPN_STAFF_MUMMY
xmas-scythe WPN_XMAS_SCYTHE
april_staff1 WPN_APRIL_STAFF1
april_staff2 WPN_APRIL_STAFF2
%rim 1


##Ranged
%sdir item/weapon/ranged
blowgun1 WPN_BLOWGUN
%enchant_variation WPN_BLOWGUN shiny runed glowing randart
blowgun2 WPN_BLOWGUN_MAGIC

sling1 WPN_SLING
%enchant_variation WPN_SLING shiny runed glowing
sling2 WPN_SLING_MAGIC
%enchant_variation WPN_SLING randart
sling3 WPN_SLING_RANDART

%rim 0
shortbow1 WPN_SHORTBOW
%enchant_variation WPN_SHORTBOW shiny runed glowing
shortbow2 WPN_SHORTBOW_MAGIC
%enchant_variation WPN_SHORTBOW randart
shortbow3 WPN_SHORTBOW_RANDART
orcbow1 WPN_ORCBOW
%enchant_variation WPN_ORCBOW shiny runed glowing
orcbow2 WPN_ORCBOW_MAGIC
%enchant_variation WPN_ORCBOW randart
orcbow3 WPN_ORCBOW_RANDART
longbow1 WPN_LONGBOW
%enchant_variation WPN_LONGBOW shiny runed glowing
longbow2 WPN_LONGBOW_MAGIC
%enchant_variation WPN_LONGBOW randart
longbow3 WPN_LONGBOW_RANDART

hand_cannon WPN_HAND_CANNON
%enchant_variation WPN_HAND_CANNON shiny runed glowing
hand_cannon2 WPN_HAND_CANNON_MAGIC
%enchant_variation WPN_HAND_CANNON randart
hand_cannon3 WPN_HAND_CANNON_RANDART
arbalest1 WPN_ARBALEST
%enchant_variation WPN_ARBALEST shiny runed glowing
arbalest2 WPN_ARBALEST_MAGIC
%enchant_variation WPN_ARBALEST randart
arbalest3 WPN_ARBALEST_RANDART
triple_crossbow WPN_TRIPLE_CROSSBOW
%enchant_variation WPN_TRIPLE_CROSSBOW shiny runed glowing randart
triple_crossbow2 WPN_TRIPLE_CROSSBOW_MAGIC

%sdir item/weapon/brands
%rim 0
# The order of weapon brands must be identical to the one defined
# in item-prop-enum.h.
i-flaming BRAND_FLAMING BRAND_WEP_FIRST
i-freezing BRAND_FREEZING
i-holy_wrath BRAND_HOLY_WRATH
i-electrocution BRAND_ELECTROCUTION
# start TAG_MAJOR_VERSION == 34
i-confusion BRAND_ORC_SLAYING
i-confusion BRAND_DRAGON_SLAYING
# end TAG_MAJOR_VERSION
i-venom BRAND_VENOM
i-protection BRAND_PROTECTION
i-draining BRAND_DRAINING
i-speed BRAND_SPEED
i-heavy BRAND_HEAVY
# start TAG_MAJOR_VERSION == 34
i-flaming BRAND_FLAME
i-freezing BRAND_FROST
# end TAG_MAJOR_VERSION
i-vampirism BRAND_VAMPIRISM
i-pain BRAND_PAIN
%rim 1
i-antimagic BRAND_ANTIMAGIC
%rim 0
i-distortion BRAND_DISTORTION
# start TAG_MAJOR_VERSION == 34
i-confusion BRAND_REACHING
i-returning BRAND_RETURNING
# end TAG_MAJOR_VERSION
i-chaos BRAND_CHAOS
# start TAG_MAJOR_VERSION == 34
i-evasion BRAND_EVASION
i-confusion BRAND_CONFUSION
# end TAG_MAJOR_VERSION
i-penetration BRAND_PENETRATION
i-reaping BRAND_REAPING
i-spectral BRAND_SPECTRAL
i-sickness BRAND_REBUKE
i-valour BRAND_VALOUR
i-entangling BRAND_ENTANGLING
i-sundering BRAND_SUNDERING
i-concussion BRAND_CONCUSSION
i-devious BRAND_DEVIOUS BRAND_WEP_LAST
# missile-only brands, order doesn't matter
i-dispersal BRAND_DISPERSAL
i-explosion BRAND_EXPLOSION
i-venom BRAND_POISONED
i-curare BRAND_CURARE
i-electrocution BRAND_ELECTRIC
# start TAG_MAJOR_VERSION == 34
i-sickness BRAND_SICKNESS
i-slowing BRAND_SLOWING
i-paralysis BRAND_PARALYSIS
# end TAG_MAJOR_VERSION
i-frenzy BRAND_FRENZY
# start TAG_MAJOR_VERSION == 34
i-sleep BRAND_SLEEP
# end TAG_MAJOR_VERSION
i-blinding BRAND_BLINDING
i-acid BRAND_ACID
i-foul_flame BRAND_FOUL_FLAME


i-chaotic MODIFIER_CHAOTIC

%rim 1
%sdir item/weapon/ranged

######OBJ_MISSILES
stone MI_STONE
# flying stone
effect/stone0 MI_STONE0

sling_bullet1 MI_SLING_BULLET
%enchant_variation MI_SLING_BULLET shiny runed glowing randart
sling_bullet2 MI_SLING_BULLET_MAGIC
steel_sling_bullet1 MI_SLING_BULLET_STEEL
%enchant_variation MI_SLING_BULLET_STEEL shiny runed glowing randart
steel_sling_bullet2 MI_SLING_BULLET_STEEL_MAGIC
silver_sling_bullet1 MI_SLING_BULLET_SILVER
%enchant_variation MI_SLING_BULLET_SILVER shiny runed glowing randart
silver_sling_bullet2 MI_SLING_BULLET_SILVER_MAGIC
# flying bullets
effect/sling_bullet0 MI_SLING_BULLET0
%enchant_variation MI_SLING_BULLET0 shiny runed glowing randart
effect/sling_bullet_runed0 MI_SLING_BULLET0_MAGIC
effect/steel_sling_bullet0 MI_SLING_BULLET_STEEL0
%enchant_variation MI_SLING_BULLET_STEEL0 shiny runed glowing randart
effect/steel_sling_bullet_runed0 MI_SLING_BULLET_STEEL0_MAGIC
effect/silver_sling_bullet0 MI_SLING_BULLET_SILVER0
%enchant_variation MI_SLING_BULLET_SILVER0 shiny runed glowing randart
effect/silver_sling_bullet_runed0 MI_SLING_BULLET_SILVER0_MAGIC

arrow1 MI_ARROW
%enchant_variation MI_ARROW shiny runed glowing randart
arrow2 MI_ARROW_MAGIC
steel_arrow1 MI_ARROW_STEEL
%enchant_variation MI_ARROW_STEEL shiny runed glowing randart
steel_arrow2 MI_ARROW_STEEL_MAGIC
silver_arrow1 MI_ARROW_SILVER
%enchant_variation MI_ARROW_SILVER shiny runed glowing randart
silver_arrow2 MI_ARROW_SILVER_MAGIC
# flying arrows
effect/arrow0 MI_ARROW0
effect/arrow1 MI_ARROW1
effect/arrow2 MI_ARROW2
effect/arrow3 MI_ARROW3
effect/arrow4 MI_ARROW4
effect/arrow5 MI_ARROW5
effect/arrow6 MI_ARROW6
effect/arrow7 MI_ARROW7

crossbow_bolt1 MI_BOLT
%enchant_variation MI_BOLT shiny runed glowing randart
crossbow_bolt2 MI_BOLT_MAGIC
steel_crossbow_bolt1 MI_BOLT_STEEL
%enchant_variation MI_BOLT_STEEL shiny runed glowing randart
steel_crossbow_bolt2 MI_BOLT_STEEL_MAGIC
silver_crossbow_bolt1 MI_BOLT_SILVER
%enchant_variation MI_BOLT_SILVER shiny runed glowing randart
silver_crossbow_bolt2 MI_BOLT_SILVER_MAGIC
# flying bolts
effect/bolt0 MI_BOLT0
effect/bolt1 MI_BOLT1
effect/bolt2 MI_BOLT2
effect/bolt3 MI_BOLT3
effect/bolt4 MI_BOLT4
effect/bolt5 MI_BOLT5
effect/bolt6 MI_BOLT6
effect/bolt7 MI_BOLT7

%rim 0
boomerang1 MI_BOOMERANG
%enchant_variation MI_BOOMERANG shiny runed glowing randart
boomerang2 MI_BOOMERANG_MAGIC
silver_boomerang MI_BOOMERANG_SILVER
# flying boomerangs
effect/boomerang0 MI_BOOMERANG0
effect/boomerang1 MI_BOOMERANG1
effect/boomerang2 MI_BOOMERANG2
effect/boomerang3 MI_BOOMERANG3

%rim 1
dart1 MI_DART
%enchant_variation MI_DART shiny runed glowing randart
dart2 MI_DART_MAGIC
dart-a MI_DART_BLINDING
dart-c MI_DART_CURARE
dart-d MI_DART_FRENZY
dart-p MI_DART_POISONED
dart-t MI_DART_DISJUNCTION

# flying needles
effect/needle0 MI_DART0
effect/needle1 MI_DART1
effect/needle2 MI_DART2
effect/needle3 MI_DART3
effect/needle4 MI_DART4
effect/needle5 MI_DART5
effect/needle6 MI_DART6
effect/needle7 MI_DART7

%rim 0
javelin1 MI_JAVELIN
%enchant_variation MI_JAVELIN shiny runed glowing randart
javelin2 MI_JAVELIN_MAGIC
steel_javelin1 MI_JAVELIN_STEEL
%enchant_variation MI_JAVELIN_STEEL shiny runed glowing randart
steel_javelin2 MI_JAVELIN_STEEL_MAGIC
silver_javelin1 MI_JAVELIN_SILVER
%enchant_variation MI_JAVELIN_SILVER shiny runed glowing randart
silver_javelin2 MI_JAVELIN_SILVER_MAGIC
%rim 1
# flying javelins
effect/javelin0 MI_JAVELIN0
effect/javelin1 MI_JAVELIN1
effect/javelin2 MI_JAVELIN2
effect/javelin3 MI_JAVELIN3
effect/javelin4 MI_JAVELIN4
effect/javelin5 MI_JAVELIN5
effect/javelin6 MI_JAVELIN6
effect/javelin7 MI_JAVELIN7

throwing_net MI_THROWING_NET
# flying nets
effect/throwing_net0 MI_THROWING_NET0
effect/throwing_net1 MI_THROWING_NET1
effect/throwing_net2 MI_THROWING_NET2
effect/throwing_net3 MI_THROWING_NET3
effect/throwing_net4 MI_THROWING_NET4
effect/throwing_net5 MI_THROWING_NET5
effect/throwing_net6 MI_THROWING_NET6
effect/throwing_net7 MI_THROWING_NET7

%rim 0
rock MI_LARGE_ROCK
# flying rock
effect/rock0 MI_LARGE_ROCK0

%rim 0
# slugs
effect/slug0 MI_SLUG0
effect/slug1 MI_SLUG1
effect/slug2 MI_SLUG2
effect/slug3 MI_SLUG3
effect/slug4 MI_SLUG4
effect/slug5 MI_SLUG5
effect/slug6 MI_SLUG6
effect/slug7 MI_SLUG7

######OBJ_ARMOUR
%sdir item/armour
robe1 ARM_ROBE
robe2
%enchant_variation ARM_ROBE shiny runed glowing
robe_ego1 ARM_ROBE_MAGIC
robe_ego2
%enchant_variation ARM_ROBE randart
robe_art1 ARM_ROBE_RANDART
robe_art2

leather_armour1 ARM_LEATHER_ARMOUR
%enchant_variation ARM_LEATHER_ARMOUR shiny runed glowing
leather_armour2 ARM_LEATHER_ARMOUR_MAGIC
%enchant_variation ARM_LEATHER_ARMOUR randart
leather_armour3 ARM_LEATHER_ARMOUR_RANDART

ring_mail1 ARM_RING_MAIL
%enchant_variation ARM_RING_MAIL shiny runed glowing
ring_mail2 ARM_RING_MAIL_MAGIC
%enchant_variation ARM_RING_MAIL randart
ring_mail3 ARM_RING_MAIL_RANDART

scale_mail1 ARM_SCALE_MAIL
%enchant_variation ARM_SCALE_MAIL shiny runed glowing
scale_mail2 ARM_SCALE_MAIL_MAGIC
%enchant_variation ARM_SCALE_MAIL randart
scale_mail3 ARM_SCALE_MAIL_RANDART

chain_mail1 ARM_CHAIN_MAIL
%enchant_variation ARM_CHAIN_MAIL shiny runed glowing
chain_mail2 ARM_CHAIN_MAIL_MAGIC
%enchant_variation ARM_CHAIN_MAIL randart
chain_mail3 ARM_CHAIN_MAIL_RANDART

plate1 ARM_PLATE_ARMOUR
%enchant_variation ARM_PLATE_ARMOUR shiny runed glowing
plate2 ARM_PLATE_ARMOUR_MAGIC
%enchant_variation ARM_PLATE_ARMOUR randart
plate3 ARM_PLATE_ARMOUR_RANDART

crystal_plate ARM_CRYSTAL_PLATE_ARMOUR
%enchant_variation ARM_CRYSTAL_PLATE_ARMOUR shiny runed glowing
crystal_plate2 ARM_CRYSTAL_PLATE_ARMOUR_MAGIC
%enchant_variation ARM_CRYSTAL_PLATE_ARMOUR randart
crystal_plate3 ARM_CRYSTAL_PLATE_ARMOUR_RANDART

animal_skin1 ARM_ANIMAL_SKIN
%enchant_variation ARM_ANIMAL_SKIN shiny runed glowing
animal_skin2 ARM_ANIMAL_SKIN_MAGIC
%enchant_variation ARM_ANIMAL_SKIN randart
animal_skin3 ARM_ANIMAL_SKIN_RANDART

troll_leather_armour ARM_TROLL_LEATHER_ARMOUR
%enchant_variation ARM_TROLL_LEATHER_ARMOUR randart
troll_leather_armour_art ARM_TROLL_LEATHER_ARMOUR_RANDART
fire_dragon_armour ARM_FIRE_DRAGON_ARMOUR
%enchant_variation ARM_FIRE_DRAGON_ARMOUR randart
fire_dragon_armour_art ARM_FIRE_DRAGON_ARMOUR_RANDART
ice_dragon_armour ARM_ICE_DRAGON_ARMOUR
%enchant_variation ARM_ICE_DRAGON_ARMOUR randart
ice_dragon_armour_art ARM_ICE_DRAGON_ARMOUR_RANDART
steam_dragon_armour ARM_STEAM_DRAGON_ARMOUR
%enchant_variation ARM_STEAM_DRAGON_ARMOUR randart
steam_dragon_armour_art ARM_STEAM_DRAGON_ARMOUR_RANDART
acid_dragon_armour ARM_ACID_DRAGON_ARMOUR
%enchant_variation ARM_ACID_DRAGON_ARMOUR randart
acid_dragon_armour_art ARM_ACID_DRAGON_ARMOUR_RANDART
quicksilver_dragon_armour ARM_QUICKSILVER_DRAGON_ARMOUR
%enchant_variation ARM_QUICKSILVER_DRAGON_ARMOUR randart
quicksilver_dragon_armour_art ARM_QUICKSILVER_DRAGON_ARMOUR_RANDART
storm_dragon_armour ARM_STORM_DRAGON_ARMOUR
%enchant_variation ARM_STORM_DRAGON_ARMOUR randart
storm_dragon_armour_art ARM_STORM_DRAGON_ARMOUR_RANDART
shadow_dragon_armour ARM_SHADOW_DRAGON_ARMOUR
%enchant_variation ARM_SHADOW_DRAGON_ARMOUR randart
shadow_dragon_armour_art ARM_SHADOW_DRAGON_ARMOUR_RANDART
golden_dragon_armour ARM_GOLDEN_DRAGON_ARMOUR
%enchant_variation ARM_GOLDEN_DRAGON_ARMOUR randart
golden_dragon_armour_art ARM_GOLDEN_DRAGON_ARMOUR_RANDART
swamp_dragon_armour ARM_SWAMP_DRAGON_ARMOUR
%enchant_variation ARM_SWAMP_DRAGON_ARMOUR randart
swamp_dragon_armour_art ARM_SWAMP_DRAGON_ARMOUR_RANDART
pearl_dragon_armour ARM_PEARL_DRAGON_ARMOUR
%enchant_variation ARM_PEARL_DRAGON_ARMOUR randart
pearl_dragon_armour_art ARM_PEARL_DRAGON_ARMOUR_RANDART

deep_troll_leather DEEP_TROLL_LEATHER
iron_troll_leather IRON_TROLL_LEATHER

%rim 1
cloak1_leather ARM_CLOAK
%enchant_variation ARM_CLOAK shiny runed
cloak2 ARM_CLOAK_MAGIC
%enchant_variation ARM_CLOAK glowing
cloak3 ARM_CLOAK_GLOWING
%enchant_variation ARM_CLOAK randart
cloak4 ARM_CLOAK_RANDART

scarf1 ARM_SCARF
%enchant_variation ARM_SCARF shiny
scarf2_1 ARM_SCARF_SHINY
%enchant_variation ARM_SCARF runed
scarf2_2 ARM_SCARF_RUNED
%enchant_variation ARM_SCARF glowing
scarf2_3 ARM_SCARF_GLOWING
%enchant_variation ARM_SCARF randart
scarf3 ARM_SCARF_RANDART

barding1 ARM_BARDING
%enchant_variation ARM_BARDING shiny runed glowing
barding2 ARM_BARDING_MAGIC
%enchant_variation ARM_BARDING randart
barding3 ARM_BARDING_RANDART

%sdir item/armour/shields

%rim 0
orb ARM_ORB
%enchant_variation ARM_ORB randart
orb_randart1 ARM_ORB_RANDART
orb_randart2
orb_randart3
orb_randart4

buckler1 ARM_BUCKLER
%enchant_variation ARM_BUCKLER shiny runed glowing
buckler2 ARM_BUCKLER_MAGIC
%enchant_variation ARM_BUCKLER randart
buckler3 ARM_BUCKLER_RANDART
%rim 1

buckler_spriggan ARM_BUCKLER_SPRIGGAN

kite_shield1 ARM_KITE_SHIELD
%enchant_variation ARM_KITE_SHIELD shiny runed glowing
kite_shield2 ARM_KITE_SHIELD_MAGIC
%enchant_variation ARM_KITE_SHIELD randart
kite_shield3 ARM_KITE_SHIELD_RANDART

tower_shield1 ARM_TOWER_SHIELD
%enchant_variation ARM_TOWER_SHIELD shiny runed glowing
tower_shield2 ARM_TOWER_SHIELD_MAGIC
%enchant_variation ARM_TOWER_SHIELD randart
tower_shield3 ARM_TOWER_SHIELD_RANDART

kite_shield_dd KITE_SHIELD_DEEP_DWARF
kite_shield_dd_scion KITE_SHIELD_DEEP_DWARF_SCION
tower_shield_dd_dk TOWER_SHIELD_DEEP_DWARF_DEATH_KNIGHT
%rim 0
kite_shield_donald KITE_SHIELD_DONALD
tower_shield_louise TOWER_SHIELD_LOUISE
%rim 1

%sdir item/armour/headgear
#####ARM_HELMET
elven_leather_helm THELM_CAP
cap_jester THELM_CAP_JESTER
hat_explorer THELM_HAT_EXPLORER
hat_explorer2 THELM_HAT_EXPLORER2
hat_wiglaf THELM_HAT_WIGLAF
santa_hat THELM_HAT_SANTA
april_hat1 THELM_HAT_APRIL1
april_hat2 THELM_HAT_APRIL2

%rim 0
hat1 THELM_HAT
hat_archer
%syn THELM_ARCHER
%enchant_variation THELM_HAT shiny runed glowing
hat2 THELM_HAT_MAGIC
hat_archer2
%syn THELM_ARCHER2
%enchant_variation THELM_HAT randart
hat3 THELM_HAT_RANDART
wizard_hat
%syn THELM_HAT_WIZARD

helmet1 THELM_HELM
helmet2
helmet3
