%sdir gui/invocations
renounce ABILITY_RENOUNCE_RELIGION
sif_muna_divine_energy ABILITY_SIF_MUNA_DIVINE_ENERGY
sif_muna_stop_divine_energy ABILITY_SIF_MUNA_STOP_DIVINE_ENERGY
trog_berserk ABILITY_TROG_BERSERK
trog_brothers_in_arms ABILITY_TROG_BROTHERS_IN_ARMS
trog_burn_spellbooks ABILITY_TROG_BURN_SPELLBOOKS
trog_hand ABILITY_TROG_HAND
tso_cleansing_flame ABILITY_TSO_CLEANSING_FLAME
tso_divine_shield ABILITY_TSO_DIVINE_SHIELD
tso_divine_warrior ABILITY_TSO_DIVINE_WARRIOR
tso_bless_weapon ABILITY_TSO_BLESS_WEAPON
uskayaw_stomp ABILITY_USKAYAW_STOMP
uskayaw_line_pass ABILITY_USKAYAW_LINE_PASS
uskayaw_grand_finale ABILITY_USKAYAW_GRAND_FINALE
yred_animate_dead ABILITY_YRED_ANIMATE_DEAD
yred_animate_remains ABILITY_YRED_ANIMATE_REMAINS
yred_drain_life ABILITY_YRED_DRAIN_LIFE
yred_enslave_soul ABILITY_YRED_ENSLAVE_SOUL
yred_injury_mirror ABILITY_YRED_INJURY_MIRROR
yred_recall ABILITY_YRED_RECALL
zin_cure_mutations ABILITY_ZIN_CURE_MUTATIONS
zin_imprison ABILITY_ZIN_IMPRISON
zin_recite ABILITY_ZIN_RECITE
zin_sanctuary ABILITY_ZIN_SANCTUARY
zin_vitalisation ABILITY_ZIN_VITALISATION
zin_donate ABILITY_ZIN_DONATE_GOLD
