###############################################################################
#
# Translations for adjectives (-er form)
#
# Note: Some of these may be redundant, as the adjective may never occur in
# this form, but it's better to be safe than sorry.
#
###############################################################################

################################
# General adjectives
################################
%%%%
"{adj-er}sapphire "
"saphirblauer "
%%%%

# potion qualifiers (optionally added in front of colour)
%%%%
"{adj-er}bubbling "
"sprudelnder "
%%%%
"{adj-er}fuming "
"rauchender "
%%%%
"{adj-er}fizzy "
"zischender "
%%%%
"{adj-er}viscous "
"dickflüssiger "
%%%%
"{adj-er}smoky "
"rauchiger "
%%%%
"{adj-er}sedimented "
"sedimentierter "
%%%%
"{adj-er}metallic "
"metallischer "
%%%%
"{adj-er}murky "
"trüber "
%%%%
"{adj-er}gluggy "
"klebriger "
%%%%
"{adj-er}oily "
"öliger "
%%%%
"{adj-er}slimy "
"schleimiger "
%%%%
"{adj-er}emulsified "
"emulgierter "
%%%%

################################
# runes
################################

%%%%
"{adj-er}iron "
"eiserner "
%%%%
"{adj-er}icy "
"eisiger "
%%%%
"{adj-er}bone "
"Knochen-"
%%%%
#"{adj-er}slimy "
#"schleimiger "
%%%%
"{adj-er}silver "
"silberner "
%%%%
"{adj-er}serpentine "
"Schlangen-"
%%%%
"{adj-er}decaying "
"verfallender "
%%%%
"{adj-er}barnacled "
"Kletten-"
%%%%
"{adj-er}gossamer "
"Spinnfäden-"
%%%%
"{adj-er}demonic "
"dämonischer "
%%%%
"{adj-er}magical "
"magischer "
%%%%
"{adj-er}fiery "
"feuriger "
%%%%

################################
# doors/gates
################################
%%%%
"{adj-er}open "
"offener "
%%%%
"{adj-er}closed "
"geschlossener "
%%%%
"{adj-er}sealed "
"versiegelter "
%%%%
"{adj-er}translucent "
"durchsichtiger "
%%%%
"{adj-er}huge "
"riesiger "
%%%%

################################
# monsters
################################
%%%%
"{adj-er}helpless "
"hilfloser "
%%%%
"{adj-er}submerged "
"untergetauchter "
%%%%
"{adj-er}spectral "
"geisterhafter "
%%%%
"{adj-er}ghostly "
"gespenstischer "
%%%%
"{adj-er}active "
"activer "
%%%%
"{adj-er}sensed "
"gespürter "
%%%%
"{adj-er}hexed "
"verfluchter "
%%%%
"{adj-er}charmed "
"verzuaberter "
%%%%
"{adj-er}bribed "
"bestochener "
%%%%
# used for obsolete monsters
"{adj-er}removed "
"entfernter "
%%%%

# mutant beasts from a box of beasts
%%%%
"{adj-er}larval "
"larvaler "
%%%%
"{adj-er}juvenile "
"juveniler "
%%%%
"{adj-er}mature "
"reifer "
%%%%
"{adj-er}elder "
"älterer "
%%%%
"{adj-er}primal "
"urzeitlicher "
%%%%

# slime size (large also possible, but that's covered above)
%%%%
"{adj-er}very large "
"sehr großer "
%%%%
"{adj-er}enormous "
"riesiger "
%%%%
"{adj-er}titanic "
"titanischer "
%%%%

